sr_no,state,mp_name_raw,constituency,allocated_amount,house,state_key,elected_nominated,mp_name_clean,mp_key
439,Rajasthan,Shri Arjun Ram Meghwal,BIKANER(SC),147000000.0,LS,Rajasthan,,ARJUN RAM MEGHWAL,LS_ARJUN RAM MEGHWAL
440,Uttar Pradesh,Shri Arun Kumar Sagar,SHAHJAHANPUR(SC),147000000.0,LS,Uttar Pradesh,,ARUN KUMAR SAGAR,LS_ARUN KUMAR SAGAR
441,Karnataka,Shri B Y Raghavendra,SHIMOGA,147000000.0,LS,Karnataka,,B Y RAGHAVENDRA,LS_B Y RAGHAVENDRA
442,Kerala,Shri Benny Behanan,CHALAKUDY,147000000.0,LS,Kerala,,BENNY BEHANAN,LS_BENNY BEHANAN
443,Odisha,Shri Bhartruhari Mahtab,CUTTACK,147000000.0,LS,Odisha,,BHARTRUHARI MAHTAB,LS_BHARTRUHARI MAHTAB
444,Jharkhand,Shri Chandra Prakash Choudhary,GIRIDIH,147000000.0,LS,Jharkhand,,CHANDRA PRAKASH CHOUDHARY,LS_CHANDRA PRAKASH CHOUDHARY
445,West Bengal,Shri Deepak (Dev) Adhikari,GHATAL,200747364.0,LS,West Bengal,,DEEPAK DEV ADHIKARI,LS_DEEPAK DEV ADHIKARI
446,Punjab,Shri Gurjeet Singh Aujla,AMRITSAR,147000000.0,LS,Punjab,,GURJEET SINGH AUJLA,LS_GURJEET SINGH AUJLA
447,Rajasthan,Shri Hanuman Beniwal,NAGAUR,147000000.0,LS,Rajasthan,,HANUMAN BENIWAL,LS_HANUMAN BENIWAL
448,Kerala,Shri Hibi Eden,ERNAKULAM,162177260.11,LS,Kerala,,HIBI EDEN,LS_HIBI EDEN
449,Bihar,Shri Janardan Singh Sigriwal,MAHARAJGANJ_BR,147000000.0,LS,Bihar,,JANARDAN SINGH SIGRIWAL,LS_JANARDAN SINGH SIGRIWAL
450,Odisha,Shri Jual Oram,SUNDARGARH (ST),173096756.91,LS,Odisha,,JUAL ORAM,LS_JUAL ORAM
451,Jammu And Kashmir,Shri Jugal Kishore Sharma,JAMMU,147000000.0,LS,Jammu And Kashmir,,JUGAL KISHORE SHARMA,LS_JUGAL KISHORE SHARMA
452,West Bengal,Shri Jyotirmay Singh Mahato,PURULIA,147000000.0,LS,West Bengal,,JYOTIRMAY SINGH MAHATO,LS_JYOTIRMAY SINGH MAHATO
453,Tamil Nadu,Shri Karti P Chidambaram,SIVAGANGA,159049284.11,LS,Tamil Nadu,,KARTI P CHIDAMBARAM,LS_KARTI P CHIDAMBARAM
